Reference,Quantity,Name,Description,Package,Digikey,Notes
"C11,C15,C16,C18,C20,C23,C24,C25,C30,C8",10,0.1 uF,Small Capacitor,402,,
"C34,C35",2,0.1uF,Small Capacitor,402,,C35 not needed for production run
"R18, J1, J2",3,0R,Small Resistor,402,,
"C10,C28,C29,C9",4,1 uF,Small Capacitor,402,,
"C1,C13",2,10 nF,Small Capacitor,402,,
C14,1,100 nF,Small Capacitor,402,,
R6,1,100K,Small Resistor,402,,
"R4,R7,R9, R17",4,10K,Small Resistor,402,,
C31,1,10uF,Small Capacitor,603,,
"C21,C22",2,12 pF,Small Capacitor,402,,
"C26,C27",2,15 pF,Small Capacitor,402,,
R8,1,16K,Small Resistor,402,,
C19,1,1nf,Small Capacitor,402,,
"C32,C33",2,1uF,Small Capacitor,402,,
C17,1,2.2 uF,Small Capacitor,603,,
R21,1,2.2K,Small Resistor,402,,
"R11,R13",2,20K,Small Resistor,402,,
"R1,R2",2,27R,Small Resistor,402,,
"H5,H6",2,2x1_HDR,motor connector,,,
X1,1,32 MHz,Crystal,Epson FA-128 crystal,SER3800CT-ND,
X2,1,32 kHz,Crystal,Kyocera ST3215SB32768H5HPWAA,478-5428-1-ND,
R23,1,33K,Small Resistor,402,,
"C6,C7",2,4.7 uF,Small Capacitor,603,,
C12,1,470 nF,Small Capacitor,402,,
"R10,R12,R14,R15,R16,R24,R26,R27,R5",9,470R,Small Resistor,402,,
"C2,C3",2,47pF,Small Capacitor,402,,
R22,1,56k,Small Resistor,402,,
R25,1,66K,Small Resistor,402,,
U5,1,ATmega32U4,microcontroller,44-QFN,ATMEGA32U4-MU-ND,
H2,1,AVR header,AVR header,SMT 2x3 100-mil,609-3487-1-ND,Not needed for production run
B1,1,BATTERY_2,battery connector,,,
U6,1,CC2540F256,bluetooth radio,QFN40,296-28232-1-ND,
A1,1,Chip Antenna,antenna,Johanson 2450AT18A100E,712-1005-1-ND,
U7,1,DRV8835DSSR,DUAL LOWVOLTAGE H-BRIDGE IC,12-WFDFN,296-30391-1-ND,
D3,1,D_SCHOTTKY,Schottky diode,0603 diode,641-1332-1-ND,
U3,1,FT531JA,250mA 3.3V LDO Regulator,SOT-23-5,1219-1084-1-ND,
F1,1,Ferrite Bead - 120 ohm,Ferrite Bead,402,587-1921-1-ND,
F2,1,Ferrite Bead -30 ohm,Ferrite Bead,402,587-3291-1-ND,
"D4,D5",2,IR LED,Light-Emitting Diode,everlight IR928-6C-F,1080-1091-ND,
"PT2,PT3",2,IR detector,Phototransistor IR,Everlight PT908-7B-F,1080-1163-ND,
D6,1,LED - Green,Light-Emitting Diode,0603 - Diode,160-1446-1-ND,
D8,1,LED - Red,Light-Emitting Diode,0603 diode,160-1447-1-ND,
D7,1,LED - Yellow,Light-Emitting Diode,0603 diode,160-1437-1-ND,
"D10,D2",2,LED - red,Light-Emitting Diode,0603 diode,160-1447-1-ND,
U4,1,LY3200ALH,Analog yaw-rate gyroscope,10-LGA,497-11080-1-ND,
U2,1,MCP73831T-2ACI/OT,Li-Poly charging,SOT-23-5,MCP73831T-2ACI/OTCT-ND,
SW2,1,MOM_SPST_NO,Normally open SPST momentary pushbutton,C&K comp - KMT221NG HF LFS,CKN9435CT-ND,
"FET1,FET2",2,P-CH MOSFET,Enhancement mode N-channel MOSFET,SOT-23-3,DMG2305UX-7DICT-ND,
SW1,1,SWITCH_SPST,Single pole normally closed on/off switch,C&K comp - pcm12smtr,401-2016-1-ND,
H4,1,TI header,TI debug header,FCI 20021121-00010C4LF,609-3695-1-ND,Not needed for production run
Balun1,1,balun for CC2540,JOHANSON TECHNOLOGY  2450BM15A0002E,6 DFN,712-1536-1-ND,
"D11,D9",2,tricolor led,tricolor LED - kingbright WP154A4SUREQBFZGC,kingbright WP154A4SUREQBFZGC,754-1615-ND,
H1,1,uUSB header,uUSB receptacle,uUSB rcpt,609-4613-2-ND,
PT1,1,visable light detector,Phototransistor PhotoDetector,fairchild KDT00030TR,KDT00030FSCT-ND,
